http_agent_id,hour,request_count,avg_request_length
-,2025-08-02 09:00:00+08:00,263,30446.634980988594
-,2025-08-02 10:00:00+08:00,325,32350.587692307694
-,2025-08-02 11:00:00+08:00,245,34428.151020408164
-,2025-08-02 12:00:00+08:00,235,33553.85531914893
-,2025-08-02 13:00:00+08:00,195,31615.579487179486
-,2025-08-02 14:00:00+08:00,162,29567.24074074074
-,2025-08-02 15:00:00+08:00,171,32620.058479532163
-,2025-08-02 16:00:00+08:00,241,31330.50622406639
-,2025-08-02 17:00:00+08:00,169,36294.91124260355
-,2025-08-02 18:00:00+08:00,129,34961.40310077519
-,2025-08-02 19:00:00+08:00,189,35368.851851851854
-,2025-08-02 20:00:00+08:00,222,33816.576576576575
-,2025-08-02 21:00:00+08:00,463,31938.522678185745
-,2025-08-02 22:00:00+08:00,523,27720.795411089865
-,2025-08-02 23:00:00+08:00,166,25600.31325301205
-,2025-08-03 00:00:00+08:00,221,22332.35746606335
-,2025-08-03 01:00:00+08:00,25,37121.52
-,2025-08-03 02:00:00+08:00,9,29063.777777777777
-,2025-08-03 03:00:00+08:00,32,34427.34375
-,2025-08-03 04:00:00+08:00,24,33434.958333333336
-,2025-08-03 05:00:00+08:00,28,27073.0
-,2025-08-03 06:00:00+08:00,51,28365.235294117647
-,2025-08-03 07:00:00+08:00,134,34507.567164179105
-,2025-08-03 08:00:00+08:00,83,29194.530120481926
-,2025-08-03 09:00:00+08:00,256,31453.73828125
-,2025-08-03 10:00:00+08:00,253,31540.758893280632
-,2025-08-03 11:00:00+08:00,256,30731.5390625
-,2025-08-03 12:00:00+08:00,257,29601.747081712063
-,2025-08-03 13:00:00+08:00,183,30307.10382513661
-,2025-08-03 14:00:00+08:00,142,26456.570422535213
-,2025-08-03 15:00:00+08:00,204,34049.029411764706
-,2025-08-03 16:00:00+08:00,185,29169.367567567566
-,2025-08-03 17:00:00+08:00,215,33636.441860465115
-,2025-08-03 18:00:00+08:00,204,34336.94117647059
-,2025-08-03 19:00:00+08:00,199,34651.994974874375
-,2025-08-03 20:00:00+08:00,142,38245.05633802817
-,2025-08-03 21:00:00+08:00,202,34111.0198019802
-,2025-08-03 22:00:00+08:00,162,35596.52469135803
-,2025-08-03 23:00:00+08:00,117,31971.094017094016
-,2025-08-04 00:00:00+08:00,71,31501.422535211266
-,2025-08-04 01:00:00+08:00,62,36143.06451612903
-,2025-08-04 02:00:00+08:00,38,35166.94736842105
-,2025-08-04 03:00:00+08:00,4,22290.0
-,2025-08-04 04:00:00+08:00,13,31457.384615384617
-,2025-08-04 05:00:00+08:00,18,36590.27777777778
-,2025-08-04 06:00:00+08:00,56,32544.48214285714
-,2025-08-04 07:00:00+08:00,168,34800.17857142857
-,2025-08-04 08:00:00+08:00,538,39762.44795539034
linxi_xx_agent,2025-08-02 17:00:00+08:00,2,732.5
